lottery_draw_number,lottery_result_front_1,lottery_result_front_2,lottery_result_front_3,lottery_result_front_4,lottery_result_front_5,lottery_result_back_1,lottery_result_back_2,lottery_draw_date
18018,6,8,13,24,28,6,12,2018/2/10
18017,4,19,21,23,31,4,9,2018/2/7
18016,1,2,12,13,23,9,12,2018/2/5
18015,4,13,15,18,29,5,11,2018/2/3
18014,14,16,18,24,31,1,8,2018/1/31
18013,8,24,31,33,35,7,10,2018/1/29
18012,3,22,24,29,34,7,11,2018/1/27
18011,3,13,15,23,26,1,10,2018/1/24
18010,24,25,26,28,29,4,12,2018/1/22
18009,10,12,28,30,34,3,4,2018/1/20
18008,9,15,17,20,22,10,11,2018/1/17
18007,3,4,28,31,34,4,11,2018/1/15
18006,19,20,30,32,33,3,5,2018/1/13
18005,4,9,23,24,30,8,11,2018/1/10
18004,4,9,22,28,30,1,10,2018/1/8
18003,4,21,23,24,30,9,10,2018/1/6
18002,12,20,23,27,34,1,6,2018/1/3
18001,1,13,22,25,35,3,4,2018/1/1
17153,1,9,24,26,34,9,12,2017/12/30
17152,2,4,7,23,28,2,8,2017/12/27
17151,5,6,23,28,32,4,5,2017/12/25
17150,3,6,10,13,18,9,11,2017/12/23
17149,10,18,19,25,26,4,12,2017/12/20
17148,19,27,31,32,35,11,12,2017/12/18
17147,5,16,17,25,34,1,11,2017/12/16
17146,1,5,11,14,35,9,10,2017/12/13
17145,4,7,17,18,19,3,10,2017/12/11
17144,3,21,23,29,32,10,11,2017/12/9
17143,6,9,24,29,32,2,7,2017/12/6
17142,1,5,16,19,28,2,10,2017/12/4
17141,2,8,21,22,29,3,5,2017/12/2
17140,10,16,25,26,29,1,5,2017/11/29
17139,2,6,19,25,32,9,12,2017/11/27
17138,4,7,9,20,25,2,11,2017/11/25
17137,1,20,22,28,29,5,7,2017/11/22
17136,1,11,20,21,22,3,4,2017/11/20
17135,1,12,15,19,22,2,4,2017/11/18
17134,7,18,19,32,34,2,10,2017/11/15
17133,15,17,19,32,33,1,3,2017/11/13
17132,11,17,23,26,27,1,10,2017/11/11
17131,3,5,8,19,34,1,12,2017/11/8
17130,5,18,28,33,34,3,4,2017/11/6
17129,5,17,20,32,33,4,9,2017/11/4
17128,9,11,13,18,33,2,3,2017/11/1
17127,2,15,18,21,22,3,10,2017/10/30
17126,3,4,13,24,33,1,11,2017/10/28
17125,7,11,18,26,28,4,5,2017/10/25
17124,3,29,30,32,35,3,8,2017/10/23
17123,3,15,23,26,32,1,12,2017/10/21
17122,3,12,18,29,34,3,11,2017/10/18
17121,1,6,12,26,31,1,7,2017/10/16
17120,8,15,24,26,27,5,6,2017/10/14
17119,5,7,13,29,35,3,8,2017/10/11
17118,2,7,16,20,33,3,11,2017/10/9
17117,5,7,9,24,32,8,10,2017/10/7
17116,2,27,30,32,33,1,3,2017/10/4
17115,14,19,20,25,31,6,8,2017/10/2
17114,6,7,12,18,23,1,12,2017/9/30
17113,5,8,17,18,23,4,12,2017/9/27
17112,5,6,20,31,32,6,12,2017/9/25
17111,2,14,17,26,34,8,12,2017/9/23
17110,10,14,20,21,35,2,5,2017/9/20
17109,6,9,19,26,34,5,7,2017/9/18
17108,1,4,15,21,22,4,9,2017/9/16
17107,4,10,19,25,27,6,12,2017/9/13
17106,9,12,18,23,29,2,4,2017/9/11
17105,4,15,22,24,32,2,9,2017/9/9
17104,9,11,22,27,30,9,11,2017/9/6
17103,4,19,20,24,29,3,4,2017/9/4
17102,1,12,23,24,29,8,12,2017/9/2
17101,5,15,21,25,29,5,8,2017/8/30
17100,2,5,18,19,31,1,9,2017/8/28
17099,8,9,17,18,24,3,7,2017/8/26
17098,6,9,17,30,35,10,11,2017/8/23
17097,7,14,19,22,34,7,12,2017/8/21
17096,3,7,9,17,28,4,12,2017/8/19
17095,15,32,33,34,35,3,12,2017/8/16
17094,3,5,8,29,33,4,8,2017/8/14
17093,5,6,17,21,29,2,4,2017/8/12
17092,3,7,9,17,34,4,5,2017/8/9
17091,1,5,7,16,19,3,12,2017/8/7
17090,3,6,15,22,35,9,11,2017/8/5
17089,3,5,6,15,18,3,10,2017/8/2
17088,5,28,31,34,35,8,9,2017/7/31
17087,3,14,21,29,35,2,6,2017/7/29
17086,12,15,18,22,31,1,8,2017/7/26
17085,9,13,14,25,30,2,5,2017/7/24
17084,6,11,14,21,31,9,12,2017/7/22
17083,2,5,14,22,34,3,9,2017/7/19
17082,5,13,20,21,25,8,9,2017/7/17
17081,2,12,15,20,34,1,6,2017/7/15
17080,8,10,21,30,31,2,5,2017/7/12
17079,1,17,19,32,33,2,11,2017/7/10
17078,4,5,27,31,34,3,6,2017/7/8
17077,1,3,4,25,31,6,9,2017/7/5
17076,2,7,25,30,35,7,12,2017/7/3
17075,5,11,16,18,35,1,6,2017/7/1
17074,8,10,11,13,17,8,11,2017/6/28
17073,7,18,28,31,33,1,2,2017/6/26
17072,1,3,29,32,34,2,5,2017/6/24
17071,1,4,11,14,33,5,7,2017/6/21
17070,6,16,18,26,30,2,3,2017/6/19
17069,10,16,20,23,32,8,11,2017/6/17
17068,7,8,19,24,27,6,7,2017/6/14
17067,10,17,18,32,35,10,11,2017/6/12
17066,11,15,23,26,30,2,11,2017/6/10
17065,5,11,12,19,28,5,12,2017/6/7
17064,1,8,20,27,30,3,4,2017/6/5
17063,18,21,22,24,29,5,11,2017/6/3
17062,1,4,6,8,28,8,12,2017/5/31
17061,10,19,23,25,30,2,4,2017/5/29
17060,9,15,20,26,31,5,12,2017/5/27
17059,8,11,13,15,17,3,10,2017/5/24
17058,14,18,20,21,28,3,6,2017/5/22
17057,12,16,19,23,24,2,5,2017/5/20
17056,1,4,24,27,32,3,10,2017/5/17
17055,19,20,22,30,33,3,9,2017/5/15
17054,16,29,30,32,33,4,5,2017/5/13
17053,6,19,20,22,26,1,11,2017/5/10
17052,3,19,24,28,33,4,12,2017/5/8
17051,14,17,18,22,29,10,11,2017/5/6
17050,12,14,17,20,28,2,6,2017/5/3
17049,9,12,14,22,31,5,8,2017/5/1
17048,7,9,13,15,19,3,10,2017/4/29
17047,15,19,32,33,34,9,12,2017/4/26
17046,4,17,20,23,30,2,3,2017/4/24
17045,1,8,11,21,35,9,12,2017/4/22
17044,11,16,17,18,25,2,9,2017/4/19
17043,6,13,22,25,35,9,12,2017/4/17
17042,2,17,31,33,34,1,7,2017/4/15
17041,2,4,6,25,31,5,9,2017/4/12
17040,4,6,10,23,29,9,11,2017/4/10
17039,5,6,14,17,26,3,8,2017/4/8
17038,4,5,13,18,27,3,9,2017/4/5
17037,13,15,16,32,34,6,11,2017/4/3
17036,1,4,9,18,33,2,5,2017/4/1
17035,14,17,22,30,33,7,12,2017/3/29
17034,6,12,21,26,29,2,11,2017/3/27
17033,15,22,23,25,34,5,11,2017/3/25
17032,2,13,14,18,29,3,9,2017/3/22
17031,2,16,17,30,32,2,9,2017/3/20
17030,21,22,24,29,34,5,6,2017/3/18
17029,1,6,14,17,29,1,11,2017/3/15
17028,6,18,22,23,33,9,11,2017/3/13
17027,8,17,25,33,34,3,11,2017/3/11
17026,10,14,19,25,32,2,7,2017/3/8
17025,10,16,19,20,34,4,5,2017/3/6
17024,21,23,29,32,35,11,12,2017/3/4
17023,5,8,12,24,34,7,10,2017/3/1
17022,2,3,9,17,24,6,12,2017/2/27
17021,1,15,17,20,26,6,8,2017/2/25
17020,16,21,24,27,28,4,7,2017/2/22
17019,2,6,14,23,25,2,10,2017/2/20
17018,6,7,10,17,23,1,9,2017/2/18
17017,4,19,24,26,29,4,6,2017/2/15
17016,3,13,28,30,33,9,10,2017/2/13
17015,1,7,19,27,34,1,2,2017/2/11
17014,4,8,15,24,25,2,5,2017/2/8
17013,5,12,17,30,34,11,12,2017/2/6
17012,4,5,24,26,35,7,12,2017/2/4
17011,5,15,21,29,34,6,9,2017/1/25
17010,4,10,13,18,35,1,2,2017/1/23
17009,5,6,8,12,22,3,4,2017/1/21
17008,3,4,9,25,32,2,4,2017/1/18
17007,8,11,17,25,27,2,4,2017/1/16
17006,4,6,23,32,33,5,6,2017/1/14
17005,5,9,20,26,35,2,11,2017/1/11
17004,5,8,11,28,31,6,7,2017/1/9
17003,3,5,6,13,22,9,12,2017/1/7
17002,7,12,14,31,34,9,11,2017/1/4
17001,7,9,20,31,33,8,10,2017/1/2
16154,6,16,17,21,29,4,6,2016/12/31
16153,13,18,25,29,35,3,11,2016/12/28
16152,8,17,22,24,30,5,11,2016/12/26
16151,4,7,11,14,21,5,12,2016/12/24
16150,1,10,18,24,29,7,10,2016/12/21
16149,1,2,3,12,33,4,9,2016/12/19
16148,5,14,15,23,25,6,8,2016/12/17
16147,7,19,20,28,30,4,12,2016/12/14
16146,21,22,25,29,34,1,11,2016/12/12
16145,1,9,11,17,28,3,8,2016/12/10
16144,4,5,13,22,31,5,10,2016/12/7
16143,4,6,22,27,31,6,7,2016/12/5
16142,1,6,17,23,26,6,12,2016/12/3
16141,2,6,7,19,28,11,12,2016/11/30
16140,12,16,23,29,34,4,11,2016/11/28
16139,13,21,30,31,35,1,8,2016/11/26
16138,12,13,16,29,35,5,11,2016/11/23
16137,7,20,23,29,34,2,10,2016/11/21
16136,5,6,7,19,23,4,11,2016/11/19
16135,1,10,12,18,35,1,12,2016/11/16
16134,1,3,31,32,34,2,7,2016/11/14
16133,1,4,5,23,28,5,9,2016/11/12
16132,4,18,19,22,35,1,2,2016/11/9
16131,6,13,25,28,30,2,7,2016/11/7
16130,11,23,32,33,34,1,12,2016/11/5
16129,7,8,19,30,35,8,9,2016/11/2
16128,17,20,22,30,33,7,8,2016/10/31
16127,1,5,15,24,26,9,10,2016/10/29
16126,11,13,16,19,24,6,8,2016/10/26
16125,6,7,8,28,30,1,2,2016/10/24
16124,4,13,24,26,29,8,11,2016/10/22
16123,4,5,13,20,32,1,10,2016/10/19
16122,1,3,12,14,29,2,6,2016/10/17
16121,4,5,8,15,20,1,6,2016/10/15
16120,3,10,20,32,34,4,7,2016/10/12
16119,2,3,9,21,22,5,10,2016/10/10
16118,12,15,18,24,29,3,11,2016/10/8
16117,3,9,14,16,23,2,9,2016/10/5
16116,4,6,8,19,34,10,12,2016/10/3
16115,1,4,15,31,34,2,11,2016/10/1
16114,16,17,20,32,33,3,7,2016/9/28
16113,10,11,17,30,34,3,12,2016/9/26
16112,7,22,23,31,32,4,5,2016/9/24
16111,4,9,22,26,27,2,12,2016/9/21
16110,7,20,21,23,30,7,10,2016/9/19
16109,3,25,28,31,34,11,12,2016/9/17
16108,10,17,22,23,25,7,9,2016/9/14
16107,2,6,19,24,26,4,6,2016/9/12
16106,3,21,30,33,35,1,4,2016/9/10
16105,8,11,31,34,35,1,2,2016/9/7
16104,1,20,22,23,30,6,7,2016/9/5
16103,5,14,20,23,29,3,11,2016/9/3
16102,3,5,6,34,35,3,12,2016/8/31
16101,4,6,28,33,35,7,12,2016/8/29
16100,8,12,19,26,30,2,12,2016/8/27
16099,3,4,12,14,27,1,5,2016/8/24
16098,8,9,11,20,29,4,5,2016/8/22
16097,6,8,18,31,33,10,12,2016/8/20
16096,1,6,8,12,21,5,10,2016/8/17
16095,8,12,18,19,21,3,6,2016/8/15
16094,1,14,16,17,18,5,7,2016/8/13
16093,1,8,14,30,35,6,7,2016/8/10
16092,2,13,31,33,34,7,11,2016/8/8
16091,8,13,17,21,22,2,8,2016/8/6
16090,4,6,8,28,32,7,12,2016/8/3
16089,7,14,17,28,34,7,10,2016/8/1
16088,4,6,17,21,30,6,11,2016/7/30
16087,3,16,17,23,25,7,9,2016/7/27
16086,3,5,22,25,30,7,9,2016/7/25
16085,14,15,27,31,32,1,7,2016/7/23
16084,8,12,15,26,35,1,8,2016/7/20
16083,1,5,9,33,35,1,5,2016/7/18
16082,3,8,23,28,29,2,7,2016/7/16
16081,6,7,18,21,33,3,8,2016/7/13
16080,15,20,29,30,33,7,12,2016/7/11
16079,7,14,15,20,27,5,10,2016/7/9
16078,7,18,29,31,35,5,11,2016/7/6
16077,9,11,14,16,35,2,5,2016/7/4
16076,3,8,10,17,31,5,6,2016/7/2
16075,3,7,17,22,31,8,12,2016/6/29
16074,1,5,7,11,14,3,8,2016/6/27
16073,7,14,17,24,27,8,10,2016/6/25
16072,16,20,24,26,31,4,9,2016/6/22
16071,8,15,19,20,33,7,12,2016/6/20
16070,2,9,13,19,23,5,7,2016/6/18
16069,14,17,19,23,30,2,9,2016/6/15
16068,5,7,22,26,34,7,12,2016/6/13
16067,2,8,11,13,19,2,8,2016/6/11
16066,10,28,29,31,33,5,11,2016/6/8
16065,1,9,18,22,24,11,12,2016/6/6
16064,1,2,10,18,35,5,11,2016/6/4
16063,8,12,22,27,35,5,9,2016/6/1
16062,2,10,14,15,35,1,9,2016/5/30
16061,9,15,17,21,23,7,12,2016/5/28
16060,2,6,22,27,34,8,11,2016/5/25
16059,2,10,27,28,33,5,7,2016/5/23
16058,2,15,17,23,28,5,9,2016/5/21
16057,8,17,19,23,30,3,8,2016/5/18
16056,10,12,14,31,35,4,5,2016/5/16
16055,6,21,27,30,34,4,9,2016/5/14
16054,2,5,9,21,30,6,7,2016/5/11
16053,4,13,15,30,35,3,5,2016/5/9
16052,8,14,19,20,33,10,11,2016/5/7
16051,16,21,23,24,32,7,8,2016/5/4
16050,7,17,21,29,35,4,5,2016/5/2
16049,3,4,5,27,33,4,9,2016/4/30
16048,4,12,17,25,27,4,10,2016/4/27
16047,2,3,23,29,32,5,9,2016/4/25
16046,3,19,22,32,34,8,12,2016/4/23
16045,7,11,25,30,33,2,8,2016/4/20
16044,1,6,10,20,31,5,11,2016/4/18
16043,1,9,16,33,34,9,12,2016/4/16
16042,2,6,8,19,24,1,6,2016/4/13
16041,12,23,24,27,34,3,6,2016/4/11
16040,20,22,29,30,35,1,6,2016/4/9
16039,1,8,16,22,28,4,5,2016/4/6
16038,3,7,9,15,33,5,12,2016/4/4
16037,3,5,13,24,34,3,5,2016/4/2
16036,7,15,26,30,31,3,6,2016/3/30
16035,17,22,24,25,29,9,12,2016/3/28
16034,14,18,31,32,35,9,10,2016/3/26
16033,3,14,15,31,35,9,10,2016/3/23
16032,5,9,14,20,33,5,12,2016/3/21
16031,3,14,24,27,29,4,11,2016/3/19
16030,10,19,21,29,33,4,6,2016/3/16
16029,20,26,27,29,32,5,12,2016/3/14
16028,13,18,20,23,31,3,6,2016/3/12
16027,6,11,13,15,28,2,6,2016/3/9
16026,2,6,29,30,34,1,7,2016/3/7
16025,3,6,13,23,24,7,10,2016/3/5
16024,1,2,11,15,18,4,8,2016/3/2
16023,4,9,14,25,27,6,11,2016/2/29
16022,4,18,21,30,35,2,11,2016/2/27
16021,1,4,9,10,35,9,11,2016/2/24
16020,1,16,22,29,30,2,9,2016/2/22
16019,4,11,15,20,26,8,9,2016/2/20
16018,5,10,13,27,33,8,11,2016/2/17
16017,11,18,24,28,29,5,10,2016/2/15
16016,3,10,22,29,32,2,5,2016/2/6
16015,1,4,10,13,30,3,9,2016/2/3
16014,6,8,21,24,27,2,10,2016/2/1
16013,3,21,23,31,35,2,11,2016/1/30
16012,5,7,11,23,28,3,12,2016/1/27
16011,2,8,10,15,23,5,10,2016/1/25
16010,12,13,15,16,28,2,5,2016/1/23
16009,5,8,10,17,20,2,12,2016/1/20
16008,5,12,31,34,35,4,5,2016/1/18
16007,2,5,14,32,35,1,3,2016/1/16
16006,14,16,17,22,24,2,9,2016/1/13
16005,6,9,12,15,20,8,11,2016/1/11
16004,10,20,23,32,35,9,10,2016/1/9
16003,4,12,17,22,26,6,7,2016/1/6
16002,7,12,18,25,35,7,9,2016/1/4
16001,1,7,19,20,30,5,10,2016/1/2
15153,1,7,22,27,33,2,11,2015/12/30
15152,4,5,22,29,35,2,11,2015/12/28
15151,15,16,18,30,35,1,7,2015/12/26
15150,4,13,18,25,33,3,7,2015/12/23
15149,4,6,10,12,28,2,8,2015/12/21
15148,8,11,27,31,33,8,9,2015/12/19
15147,1,2,13,18,19,8,10,2015/12/16
15146,4,15,19,27,31,4,11,2015/12/14
15145,6,7,20,29,32,11,12,2015/12/12
15144,1,9,24,26,29,6,11,2015/12/9
15143,9,20,31,33,35,10,11,2015/12/7
15142,12,14,22,26,30,3,6,2015/12/5
15141,2,4,15,19,31,2,3,2015/12/2
15140,1,11,15,26,35,6,11,2015/11/30
15139,2,3,5,25,32,5,7,2015/11/28
15138,1,16,20,29,32,4,7,2015/11/25
15137,14,17,21,23,26,8,11,2015/11/23
15136,5,20,23,29,32,2,10,2015/11/21
15135,5,16,20,25,29,6,8,2015/11/18
15134,1,2,6,15,35,4,7,2015/11/16
15133,3,7,8,25,30,4,8,2015/11/14
15132,3,8,14,18,27,1,5,2015/11/11
15131,11,17,19,20,27,2,3,2015/11/9
15130,17,25,31,32,34,2,12,2015/11/7
15129,1,6,23,25,29,3,9,2015/11/4
15128,10,12,23,30,32,3,4,2015/11/2
15127,9,11,14,19,30,3,8,2015/10/31
15126,4,5,8,9,21,3,6,2015/10/28
15125,2,3,15,17,28,8,10,2015/10/26
15124,4,6,12,31,32,3,6,2015/10/24
15123,4,15,27,29,30,2,10,2015/10/21
15122,11,13,15,26,35,6,11,2015/10/19
15121,2,4,17,27,28,4,6,2015/10/17
15120,1,9,15,24,32,5,10,2015/10/14
15119,1,8,12,16,21,6,11,2015/10/12
15118,3,7,20,24,31,4,9,2015/10/10
15117,6,17,20,30,33,10,11,2015/10/7
15116,7,10,19,24,33,3,7,2015/10/5
15115,8,12,13,14,16,3,9,2015/10/3
15114,9,18,24,31,34,2,10,2015/9/30
15113,1,14,21,29,33,2,10,2015/9/28
15112,4,5,15,19,28,4,11,2015/9/26
15111,7,8,16,24,28,3,10,2015/9/23
15110,2,7,10,22,30,7,11,2015/9/21
15109,1,6,11,22,31,3,12,2015/9/19
15108,1,13,16,26,31,7,12,2015/9/16
15107,3,23,25,28,29,6,7,2015/9/14
15106,2,11,13,22,30,2,3,2015/9/12
15105,8,9,15,21,27,5,9,2015/9/9
15104,16,19,25,30,34,4,9,2015/9/7
15103,7,9,15,25,34,4,10,2015/9/5
15102,11,14,15,33,34,3,12,2015/9/2
15101,6,12,17,18,32,7,12,2015/8/31
15100,9,15,18,23,32,5,7,2015/8/29
15099,9,12,14,22,25,5,10,2015/8/26
15098,9,14,21,27,33,6,9,2015/8/24
15097,4,16,17,26,27,1,4,2015/8/22
15096,3,9,12,18,21,2,6,2015/8/19
15095,8,14,26,34,35,5,10,2015/8/17
15094,2,3,10,11,29,3,7,2015/8/15
15093,16,17,25,26,27,2,4,2015/8/12
15092,2,14,21,27,34,5,8,2015/8/10
15091,2,7,28,29,30,3,7,2015/8/8
15090,6,9,11,17,21,6,8,2015/8/5
15089,5,12,18,20,27,10,12,2015/8/3
15088,5,15,28,31,34,11,12,2015/8/1
15087,2,5,15,17,22,1,11,2015/7/29
15086,5,9,11,15,32,4,9,2015/7/27
15085,2,3,4,6,16,3,12,2015/7/25
15084,10,20,21,32,34,6,7,2015/7/22
15083,14,16,19,25,29,10,12,2015/7/20
15082,8,15,28,31,33,3,6,2015/7/18
15081,3,4,10,13,17,5,9,2015/7/15
15080,14,20,29,30,32,3,8,2015/7/13
15079,1,9,17,23,24,4,5,2015/7/11
15078,19,24,26,28,33,1,2,2015/7/8
15077,1,16,17,22,28,2,9,2015/7/6
15076,3,19,21,31,34,5,12,2015/7/4
15075,13,14,26,27,33,10,12,2015/7/1
15074,1,12,21,27,33,4,9,2015/6/29
15073,9,26,27,30,34,1,6,2015/6/27
15072,19,20,21,31,33,9,10,2015/6/24
15071,4,6,13,16,34,4,10,2015/6/22
15070,3,9,12,17,18,4,12,2015/6/20
15069,2,9,11,22,25,1,7,2015/6/17
15068,2,3,20,31,35,4,8,2015/6/15
15067,4,10,18,24,27,4,11,2015/6/13
15066,1,3,7,13,29,2,10,2015/6/10
15065,4,5,7,13,35,8,11,2015/6/8
15064,2,8,20,28,31,7,10,2015/6/6
15063,1,4,6,34,35,2,4,2015/6/3
15062,6,7,13,14,15,1,4,2015/6/1
15061,6,7,8,16,22,2,10,2015/5/30
15060,16,24,25,26,33,4,11,2015/5/27
15059,7,9,19,23,32,1,3,2015/5/25
15058,10,14,20,27,30,7,12,2015/5/23
15057,1,5,7,14,26,4,6,2015/5/20
15056,6,12,19,26,35,3,10,2015/5/18
15055,6,11,14,20,30,5,10,2015/5/16
15054,2,9,15,24,34,3,9,2015/5/13
15053,8,25,28,29,32,4,7,2015/5/11
15052,13,19,24,27,29,7,8,2015/5/9
15051,1,2,11,16,21,1,5,2015/5/6
15050,6,7,10,20,28,2,7,2015/5/4
15049,8,9,11,15,22,8,10,2015/5/2
15048,10,11,22,24,33,2,9,2015/4/29
15047,1,2,17,23,31,5,12,2015/4/27
15046,5,7,10,22,26,4,10,2015/4/25
15045,8,9,22,29,30,8,12,2015/4/22
15044,16,18,27,31,33,1,3,2015/4/20
15043,2,20,22,25,29,2,7,2015/4/18
15042,3,7,12,17,24,2,11,2015/4/15
15041,1,11,21,23,28,1,10,2015/4/13
15040,2,9,10,23,35,9,12,2015/4/11
15039,3,6,7,16,25,1,6,2015/4/8
15038,12,19,22,31,35,7,8,2015/4/6
15037,10,16,21,28,31,7,8,2015/4/4
15036,14,18,20,23,24,4,8,2015/4/1
15035,22,24,29,30,35,1,10,2015/3/30
15034,4,8,15,18,26,5,9,2015/3/28
15033,3,17,22,26,28,3,7,2015/3/25
15032,6,21,25,27,30,7,11,2015/3/23
15031,7,21,29,32,33,4,12,2015/3/21
15030,9,18,19,26,31,2,5,2015/3/18
15029,7,10,19,30,35,3,5,2015/3/16
15028,3,9,28,32,33,9,10,2015/3/14
15027,5,21,22,25,28,3,10,2015/3/11
15026,11,13,14,15,22,2,8,2015/3/9
15025,7,10,20,22,27,10,11,2015/3/7
15024,2,6,8,16,34,3,4,2015/3/4
15023,6,9,11,12,22,3,11,2015/3/2
15022,9,11,14,15,26,11,12,2015/2/28
15021,22,23,24,26,31,5,6,2015/2/25
15020,11,26,28,29,32,1,4,2015/2/16
15019,2,8,16,22,24,1,3,2015/2/14
15018,4,7,10,23,31,3,7,2015/2/11
15017,7,13,16,17,29,1,7,2015/2/9
15016,6,7,16,20,34,9,11,2015/2/7
15015,1,5,13,17,32,4,11,2015/2/4
15014,8,16,25,29,35,3,10,2015/2/2
15013,11,15,25,28,35,7,10,2015/1/31
15012,3,4,6,11,31,5,9,2015/1/28
15011,4,13,22,25,30,1,6,2015/1/26
15010,2,6,17,30,35,2,7,2015/1/24
15009,17,22,26,27,33,6,10,2015/1/21
15008,7,10,11,15,17,3,10,2015/1/19
15007,2,7,8,14,31,4,8,2015/1/17
15006,6,8,30,32,33,3,7,2015/1/14
15005,11,14,15,18,19,7,8,2015/1/12
15004,3,12,14,18,28,5,6,2015/1/10
15003,12,19,27,28,34,1,12,2015/1/7
15002,3,14,20,26,32,6,10,2015/1/5
15001,8,9,19,27,30,6,7,2015/1/3
14154,5,12,17,23,28,2,9,2014/12/31
14153,1,8,13,24,32,5,10,2014/12/29
14152,5,12,18,24,33,1,5,2014/12/27
14151,3,8,26,31,32,8,12,2014/12/24
14150,19,21,30,33,35,5,7,2014/12/22
14149,2,13,19,26,35,1,5,2014/12/20
14148,3,9,10,11,20,7,9,2014/12/17
14147,5,9,14,26,34,2,9,2014/12/15
14146,2,16,23,24,28,10,11,2014/12/13
14145,15,19,22,24,26,10,11,2014/12/10
14144,1,21,24,25,35,4,11,2014/12/8
14143,1,11,14,18,25,6,10,2014/12/6
14142,18,21,25,28,30,4,6,2014/12/3
14141,4,17,20,26,29,5,8,2014/12/1
14140,1,19,20,25,34,7,12,2014/11/29
14139,3,5,7,15,34,1,10,2014/11/26
14138,1,7,29,32,34,9,12,2014/11/24
14137,2,11,16,22,34,2,5,2014/11/22
14136,4,18,20,34,35,7,11,2014/11/19
14135,20,26,28,30,35,9,12,2014/11/17
14134,2,5,7,11,32,9,12,2014/11/15
14133,2,8,12,14,18,4,12,2014/11/12
14132,1,3,4,19,32,1,7,2014/11/10
14131,3,16,19,23,27,3,7,2014/11/8
14130,2,18,31,32,33,5,7,2014/11/5
14129,7,22,28,30,32,5,6,2014/11/3
14128,2,4,16,22,34,8,11,2014/11/1
14127,2,4,6,15,19,2,11,2014/10/29
14126,2,9,22,30,34,9,10,2014/10/27
14125,12,15,19,23,31,4,10,2014/10/25
14124,1,3,28,29,35,8,12,2014/10/22
14123,1,9,12,22,25,2,9,2014/10/20
14122,3,10,25,26,35,1,7,2014/10/18
14121,13,16,18,22,32,8,10,2014/10/15
14120,1,4,6,18,33,5,11,2014/10/13
14119,4,8,9,13,18,8,12,2014/10/11
14118,2,3,23,24,26,5,11,2014/10/8
14117,3,14,17,18,33,6,9,2014/10/6
14116,6,13,15,24,27,4,5,2014/10/4
14115,1,5,26,29,30,2,10,2014/10/1
14114,3,16,24,30,33,5,8,2014/9/29
14113,2,13,17,19,23,1,6,2014/9/27
14112,3,5,14,18,32,2,10,2014/9/24
14111,11,16,18,20,29,3,4,2014/9/22
14110,9,18,19,22,24,8,11,2014/9/20
14109,15,18,20,21,23,1,2,2014/9/17
14108,1,2,13,23,35,9,12,2014/9/15
14107,5,13,14,21,34,8,10,2014/9/13
14106,5,9,11,20,22,5,11,2014/9/10
14105,4,10,26,29,32,4,8,2014/9/8
14104,7,13,14,28,32,4,11,2014/9/6
14103,14,20,23,25,26,10,12,2014/9/3
14102,1,7,14,19,20,3,12,2014/9/1
14101,9,10,12,17,28,3,11,2014/8/30
14100,2,4,8,12,35,1,7,2014/8/27
14099,15,21,22,23,33,1,7,2014/8/25
14098,16,18,22,25,35,3,10,2014/8/23
14097,3,15,20,21,23,7,9,2014/8/20
14096,3,7,21,23,31,5,10,2014/8/18
14095,6,22,30,31,34,5,6,2014/8/16
14094,13,14,24,25,34,4,7,2014/8/13
14093,3,8,30,32,34,9,11,2014/8/11
14092,2,18,27,30,32,5,11,2014/8/9
14091,10,16,18,29,32,2,7,2014/8/6
14090,2,3,20,23,28,6,8,2014/8/4
14089,2,8,12,29,30,7,12,2014/8/2
14088,7,13,20,25,26,8,11,2014/7/30
14087,4,7,31,33,35,9,10,2014/7/28
14086,6,8,27,29,35,3,9,2014/7/26
14085,6,12,13,25,29,11,12,2014/7/23
14084,2,7,9,11,28,5,9,2014/7/21
14083,18,20,24,33,35,5,10,2014/7/19
14082,1,8,18,23,25,8,12,2014/7/16
14081,3,5,8,10,25,9,12,2014/7/14
14080,17,20,23,25,27,3,10,2014/7/12
14079,9,10,20,31,32,6,10,2014/7/9
14078,10,15,16,22,28,4,5,2014/7/7
14077,9,16,26,31,32,1,5,2014/7/5
14076,5,10,19,31,32,9,10,2014/7/2
14075,5,7,29,32,35,4,10,2014/6/30
14074,6,11,22,27,30,5,11,2014/6/28
14073,4,5,7,13,35,5,6,2014/6/25
14072,17,19,22,24,30,2,9,2014/6/23
14071,4,14,15,22,23,1,7,2014/6/21
14070,1,2,7,10,32,4,12,2014/6/18
14069,16,22,27,29,31,2,9,2014/6/16
14068,5,15,24,29,35,5,6,2014/6/14
14067,3,18,23,24,31,3,7,2014/6/11
14066,8,14,16,20,31,3,11,2014/6/9
14065,7,12,19,31,33,7,12,2014/6/7
14064,8,15,33,34,35,1,8,2014/6/4
14063,11,17,21,23,34,3,4,2014/6/2
14062,4,7,17,24,25,2,4,2014/5/31
14061,4,11,17,20,29,6,10,2014/5/28
14060,12,22,29,30,34,5,11,2014/5/26
14059,7,15,17,25,29,4,11,2014/5/24
14058,9,15,22,24,26,2,7,2014/5/21
14057,8,10,20,27,33,1,9,2014/5/19
14056,12,18,28,29,35,7,8,2014/5/17
14055,4,23,26,27,35,10,11,2014/5/14
14054,2,3,20,25,34,1,12,2014/5/12
